"seqnames" "start" "end" "width" "strand" "score" "id"
"1" "CP014314.1" 5062689 5062838 150 "+" 500 "CP014314.1-730480/1-1"
"2" "CP014314.1" 1075192 1075341 150 "+" 500 "CP014314.1-730478/1-1"
"3" "CP014314.1" 3863918 3864067 150 "-" 500 "CP014314.1-730476/1-1"
"4" "CP014314.1" 13223 13372 150 "+" 500 "CP014314.1-730474/1-1"
"5" "CP014314.1" 1849614 1849763 150 "-" 500 "CP014314.1-730472/1-1"
"6" "CP014314.1" 3241900 3242049 150 "+" 500 "CP014314.1-730470/1-1"
"7" "CP014314.1" 1024887 1025036 150 "-" 500 "CP014314.1-730468/1-1"
"8" "CP014314.1" 4175330 4175479 150 "-" 500 "CP014314.1-730466/1-1"
"9" "CP014314.1" 754001 754150 150 "-" 500 "CP014314.1-730464/1-1"
"10" "CP014314.1" 3243909 3244058 150 "+" 500 "CP014314.1-730462/1-1"
"11" "CP014314.1" 1497355 1497504 150 "+" 500 "CP014314.1-730460/1-1"
"12" "CP014314.1" 2578074 2578223 150 "-" 500 "CP014314.1-730458/1-1"
"13" "CP014314.1" 4709715 4709864 150 "-" 500 "CP014314.1-730456/1-1"
"14" "CP014314.1" 2261143 2261292 150 "-" 500 "CP014314.1-730454/1-1"
"15" "CP014314.1" 456446 456595 150 "+" 500 "CP014314.1-730452/1-1"
"16" "CP014314.1" 4219086 4219235 150 "-" 500 "CP014314.1-730450/1-1"
"17" "CP014314.1" 127753 127902 150 "-" 500 "CP014314.1-730448/1-1"
"18" "CP014314.1" 1283017 1283166 150 "-" 500 "CP014314.1-730446/1-1"
"19" "CP014314.1" 1103009 1103158 150 "+" 500 "CP014314.1-730444/1-1"
"20" "CP014314.1" 1678507 1678642 136 "-" 500 "CP014314.1-730442/1-1"
"21" "CP014314.1" 1027747 1027896 150 "+" 500 "CP014314.1-730440/1-1"
"22" "CP014314.1" 3042683 3042832 150 "+" 500 "CP014314.1-730438/1-1"
"23" "CP014314.1" 4431370 4431519 150 "-" 500 "CP014314.1-730436/1-1"
"24" "CP014314.1" 2746676 2746825 150 "+" 500 "CP014314.1-730434/1-1"
"25" "CP014314.1" 3121525 3121674 150 "+" 500 "CP014314.1-730432/1-1"
"26" "CP014314.1" 1895378 1895527 150 "-" 500 "CP014314.1-730430/1-1"
"27" "CP014314.1" 4236606 4236755 150 "+" 500 "CP014314.1-730428/1-1"
"28" "CP014314.1" 1651146 1651295 150 "+" 500 "CP014314.1-730426/1-1"
"29" "CP014314.1" 4462001 4462150 150 "-" 500 "CP014314.1-730424/1-1"
"30" "CP014314.1" 3752512 3752661 150 "-" 500 "CP014314.1-730422/1-1"
"31" "CP014314.1" 954291 954440 150 "+" 500 "CP014314.1-730420/1-1"
"32" "CP014314.1" 146931 147080 150 "+" 500 "CP014314.1-730418/1-1"
"33" "CP014314.1" 2694808 2694957 150 "-" 500 "CP014314.1-730416/1-1"
"34" "CP014314.1" 3538754 3538872 119 "-" 500 "CP014314.1-730414/1-1"
"35" "CP014314.1" 52646 52795 150 "+" 500 "CP014314.1-730412/1-1"
"36" "CP014314.1" 4691845 4691946 102 "+" 500 "CP014314.1-730410/1-1"
"37" "CP014314.1" 1961548 1961697 150 "-" 500 "CP014314.1-730408/1-1"
"38" "CP014314.1" 5117079 5117207 129 "+" 500 "CP014314.1-730406/1-1"
"39" "CP014314.1" 95929 96078 150 "-" 500 "CP014314.1-730404/1-1"
"40" "CP014314.1" 1407104 1407253 150 "+" 500 "CP014314.1-730402/1-1"
"41" "CP014314.1" 4101877 4102026 150 "+" 500 "CP014314.1-730400/1-1"
"42" "CP014314.1" 1962096 1962245 150 "-" 500 "CP014314.1-730398/1-1"
"43" "CP014314.1" 1897455 1897604 150 "-" 500 "CP014314.1-730396/1-1"
"44" "CP014314.1" 968104 968208 105 "-" 500 "CP014314.1-730394/1-1"
"45" "CP014314.1" 3880920 3881069 150 "+" 500 "CP014314.1-730392/1-1"
"46" "CP014314.1" 1345151 1345300 150 "+" 500 "CP014314.1-730390/1-1"
"47" "CP014314.1" 3428361 3428510 150 "-" 500 "CP014314.1-730388/1-1"
"48" "CP014314.1" 1125266 1125415 150 "-" 500 "CP014314.1-730386/1-1"
"49" "CP014314.1" 816659 816808 150 "+" 500 "CP014314.1-730384/1-1"
"50" "CP014314.1" 3560585 3560734 150 "-" 500 "CP014314.1-730382/1-1"
"51" "CP014314.1" 4469286 4469435 150 "-" 500 "CP014314.1-730380/1-1"
"52" "CP014314.1" 4326355 4326504 150 "+" 500 "CP014314.1-730378/1-1"
"53" "CP014314.1" 2309470 2309619 150 "+" 500 "CP014314.1-730376/1-1"
"54" "CP014314.1" 815422 815571 150 "-" 500 "CP014314.1-730374/1-1"
"55" "CP014314.1" 820622 820771 150 "+" 500 "CP014314.1-730372/1-1"
"56" "CP014314.1" 4230085 4230234 150 "+" 500 "CP014314.1-730370/1-1"
"57" "CP014314.1" 4867270 4867419 150 "+" 500 "CP014314.1-730368/1-1"
"58" "CP014314.1" 4157493 4157642 150 "+" 500 "CP014314.1-730366/1-1"
"59" "CP014314.1" 1694643 1694792 150 "-" 500 "CP014314.1-730364/1-1"
"60" "CP014314.1" 799217 799342 126 "+" 500 "CP014314.1-730362/1-1"
"61" "CP014314.1" 4730828 4730977 150 "-" 500 "CP014314.1-730360/1-1"
"62" "CP014314.1" 1289774 1289921 148 "-" 500 "CP014314.1-730358/1-1"
"63" "CP014314.1" 3220374 3220523 150 "-" 500 "CP014314.1-730356/1-1"
"64" "CP014314.1" 1501730 1501879 150 "+" 500 "CP014314.1-730354/1-1"
"65" "CP014314.1" 4987501 4987650 150 "+" 500 "CP014314.1-730352/1-1"
"66" "CP014314.1" 4608032 4608181 150 "-" 500 "CP014314.1-730350/1-1"
"67" "CP014314.1" 2540130 2540279 150 "+" 500 "CP014314.1-730348/1-1"
"68" "CP014314.1" 2855900 2856049 150 "+" 500 "CP014314.1-730346/1-1"
"69" "CP014314.1" 4235655 4235804 150 "-" 500 "CP014314.1-730344/1-1"
"70" "CP014314.1" 3353099 3353248 150 "+" 500 "CP014314.1-730342/1-1"
"71" "CP014314.1" 2024379 2024528 150 "-" 500 "CP014314.1-730340/1-1"
"72" "CP014314.1" 2490026 2490175 150 "+" 500 "CP014314.1-730338/1-1"
"73" "CP014314.1" 5030688 5030837 150 "-" 500 "CP014314.1-730336/1-1"
"74" "CP014314.1" 1565251 1565400 150 "-" 500 "CP014314.1-730334/1-1"
"75" "CP014314.1" 3345770 3345919 150 "-" 500 "CP014314.1-730332/1-1"
"76" "CP014314.1" 837627 837776 150 "-" 500 "CP014314.1-730330/1-1"
"77" "CP014314.1" 5141395 5141544 150 "-" 500 "CP014314.1-730328/1-1"
"78" "CP014314.1" 760649 760798 150 "-" 500 "CP014314.1-730326/1-1"
"79" "CP014314.1" 2701734 2701883 150 "-" 500 "CP014314.1-730324/1-1"
"80" "CP014314.1" 4785243 4785392 150 "+" 500 "CP014314.1-730322/1-1"
"81" "CP014314.1" 1620788 1620926 139 "-" 500 "CP014314.1-730320/1-1"
"82" "CP014314.1" 4514482 4514631 150 "-" 500 "CP014314.1-730318/1-1"
"83" "CP014314.1" 3176283 3176432 150 "-" 500 "CP014314.1-730316/1-1"
"84" "CP014314.1" 2851385 2851534 150 "+" 500 "CP014314.1-730314/1-1"
"85" "CP014314.1" 509938 510087 150 "+" 500 "CP014314.1-730312/1-1"
"86" "CP014314.1" 3232898 3233047 150 "-" 500 "CP014314.1-730310/1-1"
"87" "CP014314.1" 3550191 3550340 150 "-" 500 "CP014314.1-730308/1-1"
"88" "CP014314.1" 5088252 5088401 150 "-" 500 "CP014314.1-730306/1-1"
"89" "CP014314.1" 3853463 3853612 150 "-" 500 "CP014314.1-730304/1-1"
"90" "CP014314.1" 2888810 2888922 113 "-" 500 "CP014314.1-730302/1-1"
"91" "CP014314.1" 5003067 5003216 150 "-" 500 "CP014314.1-730300/1-1"
"92" "CP014314.1" 4235741 4235890 150 "+" 500 "CP014314.1-730298/1-1"
"93" "CP014314.1" 2528290 2528439 150 "-" 500 "CP014314.1-730296/1-1"
"94" "CP014314.1" 3277375 3277524 150 "+" 500 "CP014314.1-730294/1-1"
"95" "CP014314.1" 3227766 3227915 150 "-" 500 "CP014314.1-730292/1-1"
"96" "CP014314.1" 643031 643180 150 "+" 500 "CP014314.1-730290/1-1"
"97" "CP014314.1" 5038034 5038166 133 "-" 500 "CP014314.1-730288/1-1"
"98" "CP014314.1" 412298 412447 150 "-" 500 "CP014314.1-730286/1-1"
"99" "CP014314.1" 5040657 5040791 135 "-" 500 "CP014314.1-730284/1-1"
"100" "CP014314.1" 4377654 4377803 150 "-" 500 "CP014314.1-730282/1-1"
"101" "CP014314.1" 4897673 4897822 150 "+" 500 "CP014314.1-730280/1-1"
"102" "CP014314.1" 4447853 4448002 150 "-" 500 "CP014314.1-730278/1-1"
"103" "CP014314.1" 3444170 3444319 150 "-" 500 "CP014314.1-730276/1-1"
"104" "CP014314.1" 5175484 5175633 150 "-" 500 "CP014314.1-730274/1-1"
"105" "CP014314.1" 4821137 4821286 150 "-" 500 "CP014314.1-730272/1-1"
"106" "CP014314.1" 4210424 4210573 150 "+" 500 "CP014314.1-730270/1-1"
"107" "CP014314.1" 435343 435492 150 "-" 500 "CP014314.1-730268/1-1"
"108" "CP014314.1" 1559268 1559417 150 "-" 500 "CP014314.1-730266/1-1"
"109" "CP014314.1" 1939911 1940060 150 "+" 500 "CP014314.1-730264/1-1"
"110" "CP014314.1" 2070475 2070624 150 "+" 500 "CP014314.1-730262/1-1"
"111" "CP014314.1" 548487 548629 143 "-" 500 "CP014314.1-730260/1-1"
"112" "CP014314.1" 3769259 3769408 150 "+" 500 "CP014314.1-730258/1-1"
"113" "CP014314.1" 3669660 3669809 150 "-" 500 "CP014314.1-730256/1-1"
"114" "CP014314.1" 1379805 1379954 150 "-" 500 "CP014314.1-730254/1-1"
"115" "CP014314.1" 5476508 5476641 134 "-" 500 "CP014314.1-730252/1-1"
